RAID|KUID|HUID|Tittel|Navn|HUIDFar|HUIDMor|IDNR|FargeBeskrivelse|FargeVariant|AD|HD|Haarlag|IDMerk|Kjoenn|PEID|EndretAv|EndretDato|RegDato|Stoerrelse
306|011167|04614/01||ORRELEIKENS MILO|LOSH827453|18688/97|1176228|HVIT/BRUN|||C||M|H|3536366|ton|17.07.2002|20.03.2001|
306|418795|04616/76||STILLERUD'S PERNILLE|05841/73|&7176/71|1176296|BRUN-HVIT||||||T|3212504||||
306|418795|04618/76||STILLERUD'S FIFFI|05841/73|&7176/71|1176359|BRUN-HVIT|||A|||T|8163483||||
306|930624|04600/93||CHICO|30830/88|00941/90|1175809|HVIT/KASTANJEBRUN|||A||V|H|3103394|mha|21.12.1999|21.12.1999|
306|011167|04620/01||ORRELEIKENS TINA|LOSH827453|18688/97|1176412|HVIT/BRUN|||A||X|T|3070567|ton|15.03.2002|20.03.2001|
306|930624|04597/93||JENA|30830/88|00941/90|1175717|HVIT/KASTANJEBRUN|||A||M|T|2559708|#XU|23.09.2001||
306|930624|04598/93||KAISA|30830/88|00941/90|1175746|HVIT/KASTANJEBRUN|||A||M|T|3024106|#XU|21.03.1999|22.03.1995|
306|930624|04599/93||RANJA|30830/88|00941/90|1175777|HVIT/KASTANJEBRUN|||A||X|T|8386755||||
306|011167|04616/01||ORRELEIKENS BIRK|LOSH827453|18688/97|1176287|HVIT/BRUN|||D||M|H|3536368|ton|17.07.2002|20.03.2001|
306|011167|04617/01||ORRELEIKENS SNARA|LOSH827453|18688/97|1176318|HVIT/BRUN|||||M|T|3536369|bk|06.12.2001|20.03.2001|
306|991164|04621/99||STILLERUD'S CLEO|DK19229/92|44914/94|1176470|HVIT/ORANGE||||||H|3474145|bk|06.04.1999|22.03.1999|
306|418795|04617/76||STILLERUD'S CHERYE|05841/73|&7176/71|1176327|BRUN-HVIT||||||T|3248074|#XU|21.03.1999||
306|011167|04618/01||ORRELEIKENS DIBA|LOSH827453|18688/97|1176350|HVIT/BRUN|||C||M|T|3536371|ton|03.07.2003|20.03.2001|
306|428817|03788/79||FREIKOLLEN'S RICKI|03431/76|&2495/72|1151633|HVIT/BRUN|||A|||H|8154249||||
306|041016|03790/04||KRUTTÅSEN'S EIR|LOI997877|11664/98|1151684|BRUN/HVIT|||A||X|H|3491999|ton|20.04.2005|04.03.2004|
306|041016|03791/04||KRUTTÅSEN'S DON|LOI997877|11664/98|1151714|BRUN/HVIT|||A||X|H|3592828|bj|23.11.2005|04.03.2004|
306|428817|03789/79||FREIKOLLEN'S BINGO|03431/76|&2495/72|1151663|HVIT/BRUN|||C|||H|8154259||||
306|428817|03786/79||FREIKOLLEN'S CATO|03431/76|&2495/72|1151573|HVIT/BRUN||||||H|8154227||||
306|428817|03787/79||FREIKOLLEN'S GARM|03431/76|&2495/72|1151603|HVIT/BRUN||||||H|3201652||||
306|041016|03789/04||KRUTTÅSEN'S TASS|LOI997877|11664/98|1151655|BRUN/HVIT|||A||M|H|2363084|ton|20.04.2005|04.03.2004|
306|428817|03790/79||FREIKOLLEN'S RØFF|03431/76|&2495/72|1151693|HVIT/BRUN|||A|||H|8154268||||
306|428817|03785/79||FREIKOLLEN'S AYAH|03431/76|&2495/72|1151542|HVIT/BRUN||||||T|8154213||||
306|061106|04234/06||VESTLØKKA'S B TANGO|10263/04|04619/01|1164867|SORT/HVIT|||A||M|H|3642693||22.01.2008|06.04.2006|
